,Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelf
106,House and Psychology: Humanity Is Overrated,Ted Cascio,0,3.76,336.0,2011.0,2011.0,,2023/02/21,to-read
107,Gülün Adı,Umberto Eco,0,4.14,674.0,2013.0,1980.0,,2021/05/14,to-read
108,Kral Oidipus,Sophocles,0,3.72,80.0,2012.0,-429.0,,2023/01/04,to-read
109,"Oğullar ve Rencide Ruhlar (Alper Kamu, #1)",Alper Canıgüz,0,4.16,204.0,2004.0,2004.0,,2023/01/04,to-read
110,Ruhi Mücerret,Murat Menteş,4,3.77,320.0,2013.0,2013.0,2023/01/04,2022/12/15,read
111,The Secret of Magic,Deborah Johnson,0,3.79,416.0,2014.0,2014.0,,2022/12/21,bu-neymiş-ki
112,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,0,4.28,473.0,2022.0,2022.0,,2022/12/15,to-read
113,Tüm Hastalıkların Şahı,Siddhartha Mukherjee,0,4.34,536.0,2012.0,2010.0,,2021/10/25,to-read
114,Sorgulayan Denemeler,Bertrand Russell,0,4.12,289.0,2014.0,1928.0,,2022/04/07,to-read
115,Kırmızı Pazartesi,Gabriel García Márquez,0,3.97,107.0,2012.0,1981.0,,2022/08/18,to-read
116,What Is It Like to Be a Bat?,Thomas Nagel,0,3.96,15.0,,1974.0,,2022/11/16,to-read
117,Selected Poems,Federico García Lorca,0,4.32,192.0,2007.0,1936.0,,2021/07/14,to-read
118,"The Paper Magician (The Paper Magician, #1)",Charlie N. Holmberg,0,3.69,222.0,2014.0,2014.0,,2022/08/25,bu-neymiş-ki
119,Rubailer,Omar Khayyám,0,4.17,381.0,2014.0,1120.0,,2022/08/18,to-read
120,Fink,Murat Menteş,4,3.68,310.0,2021.0,2021.0,2022/08/16,2022/07/09,read
121,Sisifos Söyleni,Albert Camus,0,4.18,160.0,1997.0,1942.0,,2022/08/05,to-read
122,When Breath Becomes Air,Paul Kalanithi,0,4.41,208.0,2016.0,2016.0,,2022/08/05,bu-neymiş-ki
123,Hayatın Kökleri,Mahlon B. Hoagland,0,3.87,168.0,1993.0,1978.0,,2022/04/24,bilim-kitaplığı
124,The Library of Babel,Jorge Luis Borges,0,4.35,36.0,2000.0,1941.0,,2022/07/07,to-read
125,Astrophysics for People in a Hurry,Neil deGrasse Tyson,0,4.08,223.0,2017.0,2017.0,,2022/07/03,bilim-kitaplığı
126,Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley,0,4.06,344.0,2006.0,1999.0,,2022/04/30,to-read
127,"Kur'an, İncil ve Tevrat'ın Sumer'deki Kökeni",Muazzez İlmiye Çığ,0,4.24,126.0,2012.0,1995.0,,2022/04/29,to-read
128,Leaving the Atocha Station,Ben Lerner,0,3.79,181.0,2011.0,2011.0,,2022/04/26,bu-neymiş-ki
129,Hasan Ali Yücel ve Türk Aydınlanması,A.M. Celâl Şengör,0,4.24,160.0,2009.0,2009.0,,2022/04/15,to-read
130,100 Love Sonnets,Pablo Neruda,0,4.35,232.0,1986.0,1959.0,,2022/04/11,to-read
131,Tartışma Sanatının İncelikleri,Arthur Schopenhauer,0,3.51,120.0,,1831.0,,2022/04/08,to-read
132,Topics,Aristotle,0,3.67,232.0,2005.0,-350.0,,2022/04/08,to-read
133,"Diogenes the Cynic: Sayings and Anecdotes, with Other Popular Moralists",Diogenes of Sinope,0,4.15,259.0,2012.0,2012.0,,2022/03/31,to-read
134,The Hunting of the Snark,Lewis Carroll,0,4.02,27.0,2000.0,1876.0,,2022/03/31,to-read
135,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,0,4.07,588.0,1996.0,1995.0,,2022/03/19,bu-neymiş-ki
136,Ben Buradayım: Oğuz Atay'ın Biyografik ve Kurmaca Dünyası,Yıldız Ecevit,0,4.61,580.0,2014.0,2005.0,,2021/06/27,to-read
137,"A History of Western Philosophy Vol. I/VI (A History of Western Philosophy, #1)",Bertrand Russell,0,4.75,,,,,2021/06/09,to-read
138,Mutants: On Genetic Variety and the Human Body,Armand Marie Leroi,0,4.05,448.0,2005.0,2003.0,,2022/03/18,bu-neymiş-ki
139,NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,Steve Silberman,0,4.29,477.0,2015.0,2015.0,,2022/03/18,bu-neymiş-ki
140,A Brief History of Time,Stephen Hawking,0,4.21,226.0,1998.0,1988.0,,2022/03/06,bilim-kitaplığı
141,Aziz Sancar'ın Kendi Kaleminden Hayatı ve Bilimi,Aziz Sancar,0,4.43,111.0,2018.0,,,2022/03/04,bilim-kitaplığı
142,"Philosophy of Biology, 2nd Edition (Dimensions of Philosophy)",Elliott Sober,0,4.12,254.0,1999.0,1993.0,,2022/02/24,bilim-kitaplığı
143,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,0,3.86,352.0,2014.0,2014.0,,2022/02/14,bilim-kitaplığı
144,What is Life?: How Chemistry Becomes Biology,Addy Pross,0,3.94,224.0,2012.0,2012.0,,2022/02/06,bilim-kitaplığı
145,Deadly Companions: How Microbes Shaped Our History,Dorothy H. Crawford,0,3.9,272.0,2007.0,2007.0,,2022/02/06,bilim-kitaplığı
146,Napolyon'un Düğmeleri - Dünya Tarihini Değiştiren 17 Molekül,Penny Le Couteur,0,3.97,376.0,2015.0,1991.0,,2022/02/02,bilim-kitaplığı
147,Illness as Metaphor,Susan Sontag,0,3.96,87.0,1988.0,1978.0,,2022/01/25,bu-neymiş-ki
148,The Philadelphia Chromosome: A Mutant Gene and the Quest to Cure Cancer at the Genetic Level,Jessica Wapner,0,4.29,320.0,2013.0,2013.0,,2021/12/14,bilim-kitaplığı
149,Being Mortal: Medicine and What Matters in the End,Atul Gawande,0,4.49,282.0,2014.0,2014.0,,2021/12/14,bilim-kitaplığı
150,The Immortal Life of Henrietta Lacks,Rebecca Skloot,0,4.12,370.0,2010.0,2010.0,,2021/12/14,bilim-kitaplığı
151,How to Write & Publish a Scientific Paper,Robert A. Day,0,3.86,275.0,1998.0,1979.0,,2021/12/11,to-read
152,Ortaçağ: Barbarlar - Hıristiyanlar - Müslümanlar,Umberto Eco,0,4.28,960.0,2014.0,2010.0,,2021/12/10,to-read
153,Ortaçağı Düşlemek,Umberto Eco,0,3.58,161.0,1996.0,1983.0,,2021/12/10,to-read
154,How to Write a Thesis,Umberto Eco,0,3.92,229.0,2015.0,1977.0,,2021/12/10,to-read
155,Tanrı Olmak Zor İş,Arkady Strugatsky,4,4.13,230.0,2017.0,1964.0,2021/12/05,2021/12/05,read
156,Medea,Euripides,0,3.94,59.0,1993.0,-431.0,,2021/12/02,to-read
157,Nutuk,Mustafa Kemal Atatürk,0,4.81,610.0,1991.0,1927.0,,2021/11/30,to-read
158,Operadaki Hayalet,Gaston Leroux,0,3.96,296.0,2014.0,1910.0,,2021/11/28,to-read
159,The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,Lindsey Fitzharris,0,4.31,284.0,2017.0,2017.0,,2021/11/27,bu-neymiş-ki
160,Kırmızı ve Siyah,Stendhal,0,3.86,536.0,2010.0,1830.0,,2021/11/18,to-read
161,Günlük,Oğuz Atay,0,4.33,299.0,2016.0,1987.0,,2021/10/25,to-read
162,Learn Spanish with Stories (B1): ¿Me voy o me quedo? - Spanish Intermediate (Spanish Edition),Juan Fernández,0,4.33,157.0,2017.0,,,2021/11/13,to-read
163,Spanish Short Stories For Intermediate Learners: 8 Unconventional Short Stories to Grow Your Vocabulary and Learn Spanish the Fun Way!,Olly Richards,0,4.17,217.0,2016.0,,,2021/11/13,to-read
164,Günaydın Gece Yarısı,Jean Rhys,0,3.86,182.0,2019.0,1939.0,,2021/11/06,bu-neymiş-ki
165,Yeryüzü Müzesi,Bilimkurgu Kulübü,0,3.99,312.0,2018.0,,,2021/11/06,bu-neymiş-ki
166,Anayurt Oteli,Yusuf Atılgan,2,3.89,108.0,2012.0,1973.0,2021/10/19,2021/04/17,read
167,Aylak Adam,Yusuf Atılgan,4,4.25,155.0,2000.0,1959.0,2021/08/26,2021/04/22,read
168,"The Books of Earthsea (Earthsea Cycle, #1-6)",Ursula K. Le Guin,0,4.46,1008.0,2018.0,2018.0,,2021/10/25,to-read
169,Ulysees,James Joyce,0,3.76,857.0,2015.0,1922.0,,2021/10/25,to-read
170,Korkuyu Beklerken Gelenler,Hilmi Tezgör,0,4.03,271.0,2011.0,2011.0,,2021/10/23,to-read
171,Edebiyat Nasıl Okunur,Terry Eagleton,0,3.69,220.0,2015.0,2013.0,,2021/10/13,to-read
172,The Catcher in the Rye,J.D. Salinger,0,3.8,277.0,2001.0,1951.0,,2021/04/14,to-read
173,Bilimsel Araştırmanın Mantığı,Karl Popper,0,4.03,622.0,2015.0,1934.0,,2021/10/03,to-read
174,Şüphecinin El Kitabı,Arsel Berkat Acar,0,4.25,424.0,2019.0,2019.0,,2021/09/21,to-read
175,Satıcının Ölümü,Arthur Miller,0,3.58,128.0,2011.0,1949.0,,2021/09/12,bu-neymiş-ki
176,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,0,4.04,126.0,1994.0,1967.0,,2021/09/12,bu-neymiş-ki
177,Exiles,James Joyce,0,3.45,154.0,2003.0,1914.0,,2021/09/12,to-read
178,A Portrait of the Artist as a Young Man,James Joyce,0,3.64,329.0,2003.0,1916.0,,2021/09/12,to-read
179,Gösteri Peygamberi,Chuck Palahniuk,4,3.93,304.0,2010.0,1999.0,2021/09/04,2021/09/04,read
180,The Decameron,Giovanni Boccaccio,0,3.88,909.0,2003.0,1349.0,,2021/08/24,to-read
181,A Journal of the Plague Year,Daniel Defoe,0,3.55,289.0,2003.0,1722.0,,2021/08/24,to-read
182,Oyunlarla Yaşayanlar,Oğuz Atay,4,4.29,108.0,1985.0,1975.0,2021/07/31,2021/04/25,read
183,Nasıl Ölünür,Émile Zola,0,3.76,48.0,2019.0,1883.0,,2021/07/28,to-read
184,Sallinger,Bernard-Marie Koltès,0,3.89,125.0,2005.0,1995.0,,2021/07/28,to-read
185,Telomere Lengthening: Curing All Disease Including Aging and Cancer,Bill Andrews,1,3.33,0.0,2017.0,,2021/07/27,2021/07/03,read
186,The Genome Odyssey: Medical Mysteries and the Incredible Quest to Solve Them,Euan Angus Ashley,0,4.24,400.0,2021.0,2021.0,,2021/07/26,bilim-kitaplığı
187,Tehlikeli Oyunlar,Oğuz Atay,5,4.6,479.0,2000.0,1973.0,2021/07/26,2021/07/13,read
188,Şili'de Gizlice - Miguel Littín'in Serüveni,Gabriel García Márquez,0,3.87,144.0,1996.0,1986.0,,2021/07/15,to-read
189,Fantasmas en la escalera,Alicia Estopiñá,0,3.15,55.0,2009.0,2009.0,,2021/06/28,to-read
190,Kanlı Düğün,Federico García Lorca,0,3.87,76.0,2006.0,1932.0,,2021/07/12,to-read
191,Telomeres (Cold Spring Harbor Monograph),Titia de Lange,0,4.0,576.0,2005.0,2005.0,,2021/07/12,bilim-kitaplığı
192,Elizabeth Blackburn and the Story of Telomeres: Deciphering the Ends of DNA,Catherine Brady,0,3.92,392.0,2007.0,2007.0,,2021/07/12,bilim-kitaplığı
193,"Telomeres, Telomerase, and TA-65",Hratch L. Karamanoukian,0,3.5,43.0,2012.0,2012.0,,2021/07/09,bilim-kitaplığı
194,The Biology of Cancer,Robert A. Weinberg,0,4.48,850.0,2006.0,2006.0,,2021/07/09,bilim-kitaplığı
195,Introduction to Protein Structure,Carl Branden,0,4.26,424.0,1999.0,1991.0,,2021/07/09,bilim-kitaplığı
196,"Biological Physics: Energy, Information, Life",Philip    Nelson,0,4.09,600.0,2003.0,2003.0,,2021/07/09,bilim-kitaplığı
197,Binding and Linkage: Functional Chemistry of Biological Macromolecules,Jeffries Wyman,0,5.0,330.0,1990.0,1990.0,,2021/07/09,bilim-kitaplığı
198,"Mathematical Models in Biology (Classics in Applied Mathematics, Series Number 46)",Leah Edelstein-Keshet,0,4.23,184.0,2005.0,2005.0,,2021/07/09,bilim-kitaplığı
199,The Physical Basis of Biochemistry: The Foundations of Molecular Biophysics,Peter R. Bergethon,0,4.0,1583.0,2010.0,2010.0,,2021/07/09,bilim-kitaplığı
200,Physical Biology of the Cell,Rob Phillips,0,4.22,800.0,2008.0,2008.0,,2021/07/09,bilim-kitaplığı
201,Molecular Biology of the Cell,Bruce Alberts,0,4.35,1616.0,2002.0,1983.0,,2021/07/09,bilim-kitaplığı
