,Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelf
271,Waiting for Godot,Samuel Beckett,0,3.84,109.0,2011.0,1952.0,,2021/01/24,to-read
272,Do Androids Dream of Electric Sheep?,Philip K. Dick,0,4.09,258.0,2008.0,1968.0,,2020/12/30,to-read
273,Araba Sevdası,Recaizade Mahmut Ekrem,1,3.34,306.0,2008.0,1898.0,,2020/04/18,read
274,Türk Mitolojisi ve Kutsal Varlıklar,Emre Sarı,0,0.0,,2017.0,,,2020/09/16,to-read
275,Crime and Punishment,Fyodor Dostoevsky,0,4.28,671.0,2002.0,1866.0,,2020/04/19,to-read
276,Chess Story,Stefan Zweig,4,4.27,104.0,2005.0,1942.0,,2020/04/19,read
277,Sergüzeşt,Samipaşazade Sezai,2,3.44,150.0,2005.0,1888.0,,2020/04/19,read
278,Küçük Ağacın Eğitimi,Forrest Carter,4,4.14,280.0,2017.0,1976.0,,2020/04/18,read
279,Felatun Bey'le Rakım Efendi,Ahmed Midhat Efendi,3,3.4,192.0,1992.0,1875.0,,2020/04/18,read
280,Acımak,Reşat Nuri Güntekin,2,4.13,160.0,2009.0,1928.0,,2020/04/18,read
281,Çador,Murathan Mungan,4,3.83,107.0,,2004.0,,2020/04/18,read
282,Fareler ve İnsanlar,John Steinbeck,4,3.89,95.0,2003.0,1937.0,2020/04/07,2020/03/27,read
283,El amor en los tiempos del cólera,Gabriel García Márquez,0,3.94,554.0,2020.0,1985.0,,2020/03/28,to-read
284,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,3,4.57,734.0,2002.0,2000.0,,2020/03/28,read
285,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,3,4.43,352.0,1999.0,1998.0,,2020/03/28,read
286,A Tale of Two Cities,Charles Dickens,0,3.87,489.0,2003.0,1859.0,,2020/03/28,to-read
287,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,3,4.58,435.0,2004.0,1999.0,,2020/03/28,read
288,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2,4.5,912.0,2004.0,2003.0,,2020/03/28,read
289,Life on the Edge: The Coming of Age of Quantum Biology,Johnjoe McFadden,3,4.11,368.0,2015.0,2014.0,,2020/03/27,read
290,Cinayet Şirketi,Jack London,3,3.82,270.0,2013.0,1963.0,,2020/03/27,read
291,Son Ada,Zülfü Livaneli,3,4.25,148.0,2008.0,2008.0,,2020/03/27,read
292,To Kill a Mockingbird,Harper Lee,4,4.26,323.0,2006.0,1960.0,,2020/03/27,read
293,Kürk Mantolu Madonna,Sabahattin Ali,2,4.41,160.0,1998.0,1943.0,,2020/03/27,read
294,O Papalagui: Discursos de Tuiavii Chefe de Tribo de Tiavéa nos Mares do Sul,Erich Scheurmann,4,4.01,80.0,2009.0,1920.0,,2020/03/27,read
295,Bartelby le scribe : Bartelby the Scrivener,Herman Melville,4,3.93,135.0,2003.0,1853.0,,2020/03/27,read
296,Dublörün Dilemması,Murat Menteş,4,3.98,263.0,2005.0,2005.0,,2020/03/27,read
297,Tutunamayanlar,Oğuz Atay,5,4.55,724.0,1984.0,1972.0,,2020/03/27,read
298,"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",Plato,3,4.12,58.0,2001.0,-400.0,,2020/03/27,read
299,The Republic,Plato,5,3.96,416.0,2003.0,-400.0,,2020/03/27,read
300,Don Quixote,Miguel de Cervantes Saavedra,0,3.9,1023.0,2003.0,1605.0,,2020/03/27,to-read
301,The Iliad,Homer,0,3.92,683.0,1999.0,-800.0,,2020/03/27,to-read
302,The Grapes of Wrath,John Steinbeck,5,4.02,496.0,2014.0,1939.0,,2020/03/27,read
303,Les Misérables,Victor Hugo,0,4.21,1463.0,1987.0,1862.0,,2020/03/27,to-read
304,One Hundred Years of Solitude,Gabriel García Márquez,5,4.12,417.0,2003.0,1967.0,,2020/03/27,read
305,The Plague,Albert Camus,0,4.02,308.0,1991.0,1947.0,,2020/03/27,to-read
306,The Odyssey,Homer,0,3.82,541.0,2006.0,-700.0,,2020/03/27,to-read
307,The Metamorphosis,Franz Kafka,3,3.89,201.0,1972.0,1915.0,,2020/03/27,read
308,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,0,4.14,311.0,1998.0,1985.0,,2020/03/27,to-read
309,1984,George Orwell,5,4.19,298.0,2013.0,1949.0,,2020/03/27,read
310,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,3,4.47,309.0,2003.0,1997.0,,2020/03/27,read
